,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,NAME,state,county,tract,suburb_house_decades,Class,Typology_Flag,Housing_Age_Flag,Combined_Flag
1,52061.0,2657.0,2426.0,91.3,5.8,1.83,5.5,3.5,"Census Tract 5201.06, Summit County, Ohio",39,153,520106,9.0,0,0,0,0
2,61696.0,2171.0,2000.0,92.1,8.4,2.5,19.7,12.7,"Census Tract 8109, Mahoning County, Ohio",39,099,810900,32.4,0,0,1,0
3,27686.0,4461.0,4256.0,95.4,5.1,2.35,3.9,3.8,"Census Tract 9728, Athens County, Ohio",39,009,972800,7.699999999999999,0,0,0,0
4,15720.0,4504.0,4200.0,93.3,5.4,2.47,4.3,6.7,"Census Tract 9731.01, Athens County, Ohio",39,009,973101,11.0,0,0,0,0
5,45795.0,4026.0,3859.0,95.9,3.8,2.53,3.7,8.8,"Census Tract 9737, Athens County, Ohio",39,009,973700,12.5,0,0,0,0
6,46706.0,4932.0,4867.0,98.7,0.5,2.53,2.7,8.5,"Census Tract 9738, Athens County, Ohio",39,009,973800,11.2,0,0,0,0
7,35350.0,4055.0,3983.0,98.2,1.6,2.76,4.9,10.2,"Census Tract 9727, Athens County, Ohio",39,009,972700,15.1,0,0,0,0
8,48236.0,3939.0,3920.0,99.5,0.5,2.42,6.7,3.2,"Census Tract 9736, Athens County, Ohio",39,009,973600,9.9,0,0,0,0
9,34797.0,4357.0,4282.0,98.3,1.2,2.78,4.6,5.3,"Census Tract 9726, Athens County, Ohio",39,009,972600,9.899999999999999,0,0,0,0
10,58860.0,3640.0,2962.0,81.4,5.9,2.27,2.7,22.2,"Census Tract 9733, Athens County, Ohio",39,009,973300,24.9,0,0,1,0
11,41973.0,5672.0,5240.0,92.4,2.0,2.26,5.6,9.8,"Census Tract 9729, Athens County, Ohio",39,009,972900,15.4,0,0,0,0
12,39972.0,5168.0,4683.0,90.6,3.4,2.61,4.0,14.4,"Census Tract 9732, Athens County, Ohio",39,009,973200,18.4,0,0,0,0
13,67267.0,3749.0,3425.0,91.4,5.6,2.14,21.9,48.3,"Census Tract 78.11, Franklin County, Ohio",39,049,007811,70.19999999999999,0,0,1,0
14,25375.0,4072.0,1411.0,34.7,56.2,2.51,21.6,24.6,"Census Tract 26, Franklin County, Ohio",39,049,002600,46.2,0,0,1,0
15,36442.0,1955.0,572.0,29.3,72.2,2.11,8.4,11.8,"Census Tract 28, Franklin County, Ohio",39,049,002800,20.200000000000003,0,0,0,0
16,25799.0,5214.0,3515.0,67.4,25.6,2.81,19.5,10.5,"Census Tract 49, Franklin County, Ohio",39,049,004900,30.0,0,0,1,0
17,25587.0,4658.0,767.0,16.5,84.0,2.66,22.2,11.4,"Census Tract 55, Franklin County, Ohio",39,049,005500,33.6,0,0,1,0
18,25612.0,6019.0,1294.0,21.5,65.6,2.53,9.1,13.6,"Census Tract 69.33, Franklin County, Ohio",39,049,006933,22.7,0,0,0,0
19,38793.0,5816.0,2479.0,42.6,56.6,2.32,2.5,15.5,"Census Tract 69.45, Franklin County, Ohio",39,049,006945,18.0,0,0,0,0
20,52054.0,5384.0,2676.0,49.7,45.6,2.94,3.1,10.1,"Census Tract 71.13, Franklin County, Ohio",39,049,007113,13.2,0,0,0,0
21,40446.0,5818.0,2625.0,45.1,45.9,2.3,4.3,6.2,"Census Tract 71.15, Franklin County, Ohio",39,049,007115,10.5,0,0,0,0
22,55189.0,5116.0,3445.0,67.3,32.6,2.36,0.6,5.8,"Census Tract 71.14, Franklin County, Ohio",39,049,007114,6.3999999999999995,0,0,0,0
23,31696.0,4162.0,369.0,8.9,92.8,2.58,44.9,14.1,"Census Tract 75.12, Franklin County, Ohio",39,049,007512,59.0,0,0,1,0
24,83977.0,3531.0,3312.0,93.8,8.3,2.38,31.1,5.8,"Census Tract 2.10, Franklin County, Ohio",39,049,000210,36.9,1,1,1,1
25,26458.0,2070.0,683.0,33.0,58.9,2.38,54.6,31.1,"Census Tract 87.30, Franklin County, Ohio",39,049,008730,85.7,0,0,1,0
26,40292.0,4621.0,3117.0,67.5,34.4,2.71,16.4,13.5,"Census Tract 88.22, Franklin County, Ohio",39,049,008822,29.9,0,0,1,0
27,49715.0,5105.0,4524.0,88.6,11.0,2.55,7.5,31.6,"Census Tract 95.90, Franklin County, Ohio",39,049,009590,39.1,0,0,1,0
28,84871.0,5784.0,5473.0,94.6,1.8,2.86,6.3,6.1,"Census Tract 97.51, Franklin County, Ohio",39,049,009751,12.399999999999999,1,1,0,0
29,58395.0,2980.0,2530.0,84.9,13.7,2.39,9.9,38.3,"Census Tract 74.25, Franklin County, Ohio",39,049,007425,48.199999999999996,0,0,1,0
30,86591.0,6125.0,4761.0,77.7,14.8,2.6,1.7,2.6,"Census Tract 74.92, Franklin County, Ohio",39,049,007492,4.3,0,0,0,0
31,37118.0,2067.0,449.0,21.7,80.0,2.97,1.0,9.3,"Census Tract 75.33, Franklin County, Ohio",39,049,007533,10.3,0,0,0,0
